A B 
AAAB BAAB 
AAB BAB 
AABB BABB 
AAC BAC 
AACB BACB 
AAD BAD 
AADB BADB 
AAE BAE 
AAF BAF 
AAG BAG 
AAH BAH 
AAI BAI 
AAJ BAJ 
AAK BAK 
AAL BAL 
AAM BAM 
AAN BAN 
AAO BAO 
AAP BAP 
AAQ BAQ 
AAR BAR 
AAS BAS 
AAT BAT 
AAU BAU 
AAV BAV 
AAW BAW 
AAX BAX 
AAY BAY 
AAZ BAZ 
AB BB 
ABAB BBAB 
ABB BBB 
ABBB BBBB 
ABC BBC 
ABCB BBCB 
ABD BBD 
ABDB BBDB 
ABE BBE 
ABF BBF 
ABG BBG 
ABH BBH 
ABI BBI 
ABJ BBJ 
ABK BBK 
ABL BBL 
ABM BBM 
ABN BBN 
ABO BBO 
ABP BBP 
ABQ BBQ 
ABR BBR 
ABS BBS 
ABT BBT 
ABU BBU 
ABV BBV 
ABW BBW 
ABX BBX 
ABY BBY 
ABZ BBZ 
AC BC 
ACAB BCAB 
ACB BCB 
ACBB BCBB 
ACC BCC 
ACCB BCCB 
ACD BCD 
ACDB BCDB 
ACE BCE 
ACF BCF 
ACG BCG 
ACH BCH 
ACI BCI 
ACJ BCJ 
ACK BCK 
ACL BCL 
ACM BCM 
ACN BCN 
ACO BCO 
ACP BCP 
ACQ BCQ 
ACR BCR 
ACS BCS 
ACT BCT 
ACU BCU 
ACV BCV 
ACW BCW 
ACX BCX 
ACY BCY 
ACZ BCZ 
AD BD 
ADAB BDAB 
ADB BDB 
ADBB BDBB 
ADC BDC 
ADCB BDCB 
ADD BDD 
ADDB BDDB 
ADE BDE 
ADF BDF 
ADG BDG 
ADH BDH 
ADI BDI 
ADJ BDJ 
ADK BDK 
ADL BDL 
ADM BDM 
ADN BDN 
ADO BDO 
ADP BDP 
ADQ BDQ 
ADR BDR 
ADS BDS 
ADT BDT 
ADU BDU 
ADV BDV 
ADW BDW 
ADX BDX 
ADY BDY 
ADZ BDZ 
AE BE 
AEAB BEAB 
AEB BEB 
AEBB BEBB 
AEC BEC 
AECB BECB 
AED BED 
AEDB BEDB 
AEE BEE 
AEF BEF 
AEG BEG 
AEH BEH 
AEI BEI 
AEJ BEJ 
AEK BEK 
AEL BEL 
AEM BEM 
AEN BEN 
AEO BEO 
AEP BEP 
AEQ BEQ 
AER BER 
AES BES 
AET BET 
AEU BEU 
AEV BEV 
AEW BEW 
AEX BEX 
AEY BEY 
AEZ BEZ 
AF BF 
AFAB BFAB 
AFB BFB 
AFBB BFBB 
AFC BFC 
AFCB BFCB 
AFD BFD 
AFDB BFDB 
AFE BFE 
AFF BFF 
AFG BFG 
AFH BFH 
AFI BFI 
AFJ BFJ 
AFK BFK 
AFL BFL 
AFM BFM 
AFN BFN 
AFO BFO 
AFP BFP 
AFQ BFQ 
AFR BFR 
AFS BFS 
AFT BFT 
AFU BFU 
AFV BFV 
AFW BFW 
AFX BFX 
AFY BFY 
AFZ BFZ 
AG BG 
AGAB BGAB 
AGB BGB 
AGBB BGBB 
AGC BGC 
AGCB BGCB 
AGD BGD 
AGDB BGDB 
AGE BGE 
AGF BGF 
AGG BGG 
AGH BGH 
AGI BGI 
AGJ BGJ 
AGK BGK 
AGL BGL 
AGM BGM 
AGN BGN 
AGO BGO 
AGP BGP 
AGQ BGQ 
AGR BGR 
AGS BGS 
AGT BGT 
AGU BGU 
AGV BGV 
AGW BGW 
